X1,id,available_Cycle,available_Walk,available_HSR,available_Car,time_Cycle,time_Walk,time_HSR,time_Car,access_Cycle,access_Walk,access_HSR,access_Car,wait_Cycle,wait_Walk,wait_HSR,wait_Car,transfer_Cycle,transfer_Walk,transfer_HSR,transfer_Car,parking,vehind,gender,age,shared,family,child,street_density,sidewalk_density,LAT,LONG,PersonalVehComf_SD,PersonalVehComf_D,PersonalVehComf_A,PersonalVehComf_SA,Fun_SD,Fun_D,Fun_A,Fun_SA,ActiveNeigh_SD,ActiveNeigh_D,ActiveNeigh_A,ActiveNeigh_SA,UsefulTrans_SD,UsefulTrans_D,UsefulTrans_A,UsefulTrans_SA,BusComf_SD,BusComf_D,BusComf_A,BusComf_SA,TravelAlone_SD,TravelAlone_D,TravelAlone_A,TravelAlone_SA,Shelters_SD,Shelters_D,Shelters_A,Shelters_SA,Community_SD,Community_D,Community_A,Community_SA,personal_veh_comfortable,getting_there_fun,like_active_neighborhood,commute_useful_transition,buses_comfortable,prefer_travel_alone,shelter_good_quality,sense_community,numna
1,566872636,No,Yes,Yes,No,NA,21.31438721,5,.,0,0,3,0,0,0,15,0,0,0,0,0,No,No,Man,21,Living in Shared Accommodations,No,No,14.37620617,22.63322192,43.26302,-79.900741,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,A,D,A,A,D,SD,A,N,2
2,566873140,No,Yes,Yes,Yes,NA,12.78863233,10,2,0,0,4,0,0,0,15,0,0,0,0,0,No,Yes,Man,23,No,No,No,19.4975356,39.64003191,43.258845,-79.904759,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,N,SA,N,SD,N,SD,A,D,3
3,566874266,No,No,Yes,Yes,NA,.,15,4,0,0,3,0,0,0,2,0,0,0,0,0,No,No,Man,20,No,Living with Family,No,13.55660792,8.22849688,43.25222,-79.93953,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,A,N,N,A,A,N,N,N,2
4,566874842,Yes,Yes,Yes,No,5.82815742,20,8,.,0,0,10.66,0,0,0,10.23,0,0,0,0,0,No,No,Man,20,Living in Shared Accommodations,No,No,14.30782564,37.4575743,43.257822,-79.919413,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,D,D,SA,A,N,D,A,N,3
5,566881170,Yes,Yes,Yes,No,5.82815742,20,5,.,0,0,6.21,0,0,0,10.23,0,0,0,0,0,No,No,Woman,19,Living in Shared Accommodations,No,No,14.30782564,37.4575743,43.255617,-79.920475,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,SA,N,A,N,N,N,D,N,3
6,566907438,No,Yes,Yes,No,NA,10,3,.,0,0,7.14,0,0,0,10.23,0,0,0,0,0,No,No,Man,19,Living in Shared Accommodations,No,No,11.88381306,18.5668136,43.257705,-79.9222,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,N,A,SA,N,N,N,D,D,2
7,566910139,Yes,Yes,Yes,Yes,4.371118065,15,20,5,0,0,10.66,0,0,0,10.23,0,0,0,0,0,No,Yes,Man,49,No,Living with Family,Yes,15.39379834,26.06792804,43.255966,-79.912596,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,A,A,N,A,A,D,N,A,4
8,566916725,No,No,Yes,Yes,NA,.,25,17,0,0,15,0,0,0,3,0,0,0,1,0,No,No,Man,19,No,Living with Family,Yes,10.10814511,20.28181241,43.218472,-79.918446,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,SA,A,A,N,A,N,SA,A,2
9,566917686,No,No,Yes,Yes,NA,.,8,4,0,0,2,0,0,0,12,0,0,0,0,0,No,Yes,Woman,20,Living in Shared Accommodations,No,No,13.55660792,8.22849688,43.25222,-79.93953,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,A,A,N,A,A,A,N,A,2
10,566920649,No,Yes,Yes,No,NA,15,5,.,0,0,12.42,0,0,0,10.23,0,0,0,0,0,No,No,Woman,23,Living in Shared Accommodations,No,No,11.88381306,18.5668136,43.257878,-79.916677,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,SA,A,A,A,N,A,N,N,2
