id,choice
566872636,HSR
566873140,HSR
566874266,HSR
566874842,Walk
566881170,Walk
566907438,Walk
566910139,Walk
566916725,HSR
566917686,HSR
566920649,Walk
566921396,Walk
566923414,Car
566925472,Walk
566926418,Walk
566926630,HSR
566934082,Walk
566934436,Car
566934743,HSR
566935423,Walk
566936288,Walk
566936854,Walk
566938024,HSR
566939887,HSR
566941574,Car
566942436,Walk
566948283,HSR
566948713,HSR
566949396,Walk
566949890,Walk
566954431,HSR
566955248,Walk
566959464,Walk
566959744,HSR
566960891,Cycle
566962937,HSR
566962977,Car
566964478,Walk
566964997,HSR
566965817,Walk
566965845,Car
566967664,Walk
566969545,Walk
566970291,Walk
566973504,Car
566974650,Car
566981990,HSR
566986817,HSR
566989682,Car
566991188,Walk
566992428,Walk
566992458,HSR
566993038,Cycle
566993539,Car
566994221,Car
566997008,Walk
567000227,Walk
567002208,Walk
567010428,Walk
567011167,HSR
567012140,HSR
567012164,Car
567016985,Cycle
567020780,Walk
567021942,Walk
567021970,Car
567023968,Car
567025915,Walk
567026366,HSR
567031746,HSR
567031802,Cycle
567033839,HSR
567034403,Walk
567037859,Car
567038622,HSR
567046778,Car
567048973,Walk
567056763,Cycle
567058135,Walk
567061503,Walk
567061867,Walk
567061940,HSR
567067774,Walk
567069162,Walk
567078740,Walk
567078850,Car
567079297,Walk
567085838,Car
567094663,Car
567096769,Car
567103435,Walk
567103844,Walk
567109014,HSR
567114824,Walk
567117763,HSR
567119512,Walk
567120206,HSR
567123337,HSR
567126594,HSR
567161256,Walk
567164700,Car
567199518,Walk
567200585,Walk
567207375,Walk
567209040,Car
567213935,Walk
567217878,Car
567229226,HSR
567229705,Walk
567239348,HSR
567248383,Walk
567265539,HSR
567265561,HSR
567289736,Walk
567289806,Walk
567294979,Walk
567298189,Walk
567305742,HSR
567307649,Walk
567311100,Walk
567311823,Walk
567314105,HSR
567327816,HSR
567334887,Car
567335362,Cycle
567337006,Car
567341576,Walk
567343091,HSR
567348277,Walk
567351458,Walk
567351471,Walk
567352305,HSR
567352602,Walk
567352699,Walk
567352979,Walk
567352995,Walk
567353088,Walk
567353881,Walk
567354973,Walk
567356130,Walk
567356317,Car
567356674,Car
567357052,Walk
567358075,Walk
567358228,Walk
567359923,HSR
567363721,Walk
567364645,Walk
567389153,Walk
567389266,Walk
567391414,Cycle
567394026,Walk
567395676,Walk
567395776,HSR
567396163,Walk
567397915,Walk
567398392,Car
567398484,Walk
567399665,HSR
567401921,Walk
567402156,HSR
567402233,Walk
567402947,Car
567403579,Walk
567404366,Walk
567404972,Walk
567405149,Walk
567407303,Car
567407372,HSR
567409131,Walk
567410489,Walk
567410588,Walk
567410857,Walk
567412683,Car
567413852,HSR
567413998,Walk
567415945,HSR
567417948,Car
567418399,Walk
567418945,Walk
567420656,Walk
567420701,HSR
567420744,Walk
567420872,Walk
567422917,Walk
567425053,Walk
567425703,Car
567426899,HSR
567427693,Walk
567429131,Walk
567429307,Car
567429930,Walk
567430197,Cycle
567431074,Walk
567433435,Walk
567433779,Walk
567433866,Walk
567434529,Walk
567436000,Walk
567436501,Car
567436674,Car
567437185,Car
567438698,Walk
567438825,Walk
567439198,Walk
567440576,Walk
567441030,Car
567441353,Car
567442137,HSR
567443525,Car
567448553,Walk
567449578,Walk
567452936,Walk
567453700,Walk
567455150,HSR
567455623,Car
567457092,HSR
567457396,HSR
567458369,Walk
567460884,Car
567462740,Car
567462770,Walk
567464071,Walk
567464768,HSR
567469394,Cycle
567470180,Car
567470261,Walk
567473374,Walk
567473940,Walk
567475719,Walk
567476227,Walk
567476988,HSR
567480036,Walk
567481074,Walk
567481540,Cycle
567483637,HSR
567483819,Walk
567492658,HSR
567493345,HSR
567493866,Walk
567495213,Walk
567499323,Walk
567502419,Car
567502780,Walk
567507037,HSR
567511668,Cycle
567519369,Car
567522805,Car
567527753,HSR
567530554,Car
567530779,HSR
567531407,HSR
567535704,Car
567538921,Cycle
567539446,HSR
567540351,Walk
567540718,Walk
567541127,Walk
567542518,Walk
567543311,Walk
567544185,Walk
567548501,Car
567549851,Walk
567550466,Car
567551722,Car
567552465,Walk
567554396,Walk
567557739,Car
567558085,Walk
567561069,Walk
567565704,Walk
567570739,Walk
567571140,Walk
567574050,Walk
567575427,Walk
567576043,Car
567577282,Walk
567579233,Walk
567581357,Car
567583352,Walk
567585120,Walk
567595299,HSR
567595791,Walk
567596879,Car
567598570,Walk
567600588,Walk
567602322,Walk
567603076,Walk
567620716,HSR
567621305,Car
567627081,Walk
567627556,HSR
567633637,Walk
567645569,Walk
567653798,Walk
567655616,Car
567656262,Walk
567657604,HSR
567658556,Walk
567669002,HSR
567672319,Walk
567672577,HSR
567681445,Cycle
567684894,Car
567696907,Walk
567700144,HSR
567703819,Walk
567706966,Cycle
567708491,Walk
567716296,Cycle
567716567,Walk
567725431,Car
567730953,Walk
567733294,Walk
567735550,Car
567739865,Car
567741102,Cycle
567752906,HSR
567757997,HSR
567763460,Cycle
567766092,HSR
567769163,HSR
567769338,HSR
567769452,HSR
567773447,Car
567775701,Car
567776222,Walk
567780973,Car
567781317,Walk
567785957,HSR
567788800,Walk
567790385,Car
567790389,Walk
567795247,Walk
567800214,Car
567800576,Walk
567801317,Car
567801705,Car
567809825,Walk
567810459,Car
567811847,Car
567812891,HSR
567812901,Walk
567813867,Walk
567814118,Car
567814211,Walk
567814618,Walk
567815240,Walk
567816209,Walk
567816394,Walk
567816641,Cycle
567817239,Walk
567817539,Walk
567819494,Walk
567820270,Walk
567820589,Walk
567820932,HSR
567822696,Car
567824807,Walk
567825736,Walk
567827211,Car
567829197,HSR
567829799,Walk
567839317,Walk
567844647,Car
567849435,HSR
567849800,Walk
567851677,Walk
567854151,HSR
567855628,Walk
567857244,Cycle
567857376,HSR
567857730,Walk
567860748,Car
567862285,Walk
567862891,Walk
567862903,Walk
567862911,Car
567864475,HSR
567865570,HSR
567866980,Car
567868204,Walk
567869826,Walk
567871359,Walk
567872966,Car
567873529,Car
567875252,Walk
567875966,Walk
567876582,Walk
567878084,Car
567878838,HSR
567880473,Car
567880671,HSR
567881004,Walk
567881904,HSR
567881998,Walk
567882082,Car
567884916,Walk
567886358,Car
567887049,Walk
567889573,Walk
567891129,Walk
567891573,Car
567891710,HSR
567892209,Car
567892348,HSR
567892483,Walk
567895923,Walk
567896425,Walk
567898333,Walk
567899369,Walk
567899372,HSR
567899399,Walk
567900969,HSR
567901885,Car
567902526,HSR
567905599,Car
567906427,Walk
567906724,HSR
567908034,Walk
567908600,Walk
567908992,Walk
567910573,Walk
567911169,Car
567913135,Walk
567914666,HSR
567915025,HSR
567915263,Car
567916755,Walk
567918224,Walk
567919507,Car
567920051,Car
567920389,Walk
567920473,HSR
