Date,Visits,LowtTemp,HighTemp,TotalPrecip,TotalSnowfall,CPI,MCSI,Unemployment
1986/01/01,24708,-17,48,0.95,11.5,0.3,95.6,6.7
1986/02/01,29684,-21,58,1.34,24.8,-0.3,95.9,7.2
1986/03/01,20165,5,62,1.18,4.5,-0.5,95.1,7.2
1986/04/01,21681,6,67,1.33,3.5,-0.2,96.2,7.1
1986/05/01,147767,19,84,0.62,1.3,0.3,94.8,7.2
1986/06/01,427968,25,85,1.93,0,0.6,99.3,7.2
1986/07/01,663205,.,.,.,.,0,97.7,7
1986/08/01,614295,31,90,1.67,0,0.2,94.9,6.9
1986/09/01,295089,18,77,2.24,.,0.5,91.9,7
1986/10/01,94106,5,69,0.79,0,0.1,95.6,7
1986/11/01,6414,-27,52,1.28,17.5,0.1,91.4,6.9
1986/12/01,18674,-14,34,1.03,10,0.1,89.1,6.6
1987/01/01,27238,-34,49,0.67,12.8,0.6,90.4,6.6
1987/02/01,32559,-15,45,0.35,2.1,0.4,90.2,6.6
1987/03/01,12310,-20,60,0.99,8.6,0.4,90.8,6.6
1987/04/01,31938,7,77,0.3,2,0.5,92.8,6.3
1987/05/01,185705,19,80,2.78,0,0.4,91.1,6.3
1987/06/01,447465,20,83,2.19,0,0.4,91.5,6.2
1987/07/01,685128,27,84,4.3,0,0.3,93.7,.
1987/08/01,626537,22,85,1.38,0,0.5,94.4,6
1987/09/01,361842,17,88,0.19,0,0.5,93.6,5.9
1987/10/01,122637,4,78,0,0,0.3,89.3,6
1987/11/01,19842,-4,57,0.83,6.5,0.1,83.1,5.8
1987/12/01,19993,-24,48,0.83,8.9,0,86.8,5.7
1988/01/01,25706,-30,41,0.89,10.5,0.3,90.8,5.7
1988/02/01,35936,-16,49,0.56,11,0.3,91.6,5.7
1988/03/01,18470,-10,55,1.06,6,0.4,94.6,5.7
1988/04/01,22999,4,74,2.22,14.1,0.5,91.2,5.4
1988/05/01,175285,13,79,2.51,9,0.3,94.8,5.6
1988/06/01,442400,24,91,0.76,0,0.4,94.7,5.4
1988/07/01,636295,25,97,0.89,0,0.4,93.4,5.4
1988/08/01,440130,16,.,0.22,0,0.4,97.4,5.6
1988/09/01,176833,13,86,0.24,0,0.7,97.3,5.4
1988/10/01,170504,18,74,0.15,0,0.3,94.1,5.4
1988/11/01,18510,-10,62,1.47,21.5,0.1,93,5.3
1988/12/01,19045,-20,43,0.76,11.6,0.2,91.9,5.3
1989/01/01,24328,-22,38,1.6,28.9,0.5,97.9,5.4
1989/02/01,30768,-42,48,0.92,11.1,0.4,95.4,5.2
1989/03/01,22163,-29,61,1.91,23.6,0.6,94.3,5
1989/04/01,25292,0,73,1.07,3.5,0.7,91.5,5.2
1989/05/01,216163,18,72,3.18,2,0.6,90.7,5.2
1989/06/01,467193,24,84,1.74,0,0.2,90.6,5.3
1989/07/01,696587,32,93,1.77,0,0.2,92,5.2
1989/08/01,608248,28,92,1.18,0,0.2,89.6,5.2
1989/09/01,403579,13,82,0.26,0,0.3,95.8,5.3
1989/10/01,123454,11,74,2.15,2,0.5,93.9,5.3
1989/11/01,6791,-8,56,0.76,7.5,0.2,90.9,5.4
1989/12/01,19876,-25,46,1.82,35.8,0.2,90.5,5.4
1990/01/01,25884,-20,43,1.62,26.3,1,93,5.4
1990/02/01,33285,-30,48,0.37,9.8,0.5,89.5,5.3
1990/03/01,19372,-6,55,0.8,9.7,0.5,91.3,5.2
1990/04/01,29242,4,69,1.42,3,0.2,93.9,5.4
1990/05/01,203712,11,73,2.22,2.5,0.2,90.6,5.4
1990/06/01,526586,25,95,1.67,0,0.5,88.3,5.2
1990/07/01,760520,30,95,1.12,0,0.4,88.2,5.5
1990/08/01,674454,30,93,2.35,0,0.9,76.4,5.7
1990/09/01,414563,20,86,1.07,0,0.8,72.8,5.9
1990/10/01,111145,10,76,1.79,8.5,0.6,63.9,5.9
1990/11/01,8117,-6,61,0.56,8.5,0.2,66,6.2
1990/12/01,16692,-42,37,1.04,19.1,0,65.5,6.3
1991/01/01,28851,-33,38,0.61,13.2,0.6,66.8,6.4
1991/02/01,38050,-2,52,0.31,2.6,0.1,70.4,6.6
1991/03/01,19946,-7,55,1.16,15,0.1,87.7,6.8
1991/04/01,19875,13,61,2.21,21.5,0.1,81.8,6.7
1991/05/01,188798,13,73,3.83,8,0.3,78.3,6.9
1991/06/01,499107,26,80,0.61,0,0.3,82.1,6.9
1991/07/01,796656,30,91,0.75,0,0.1,82.9,6.8
1991/08/01,721103,30,88,1.18,0,0.3,82,6.9
1991/09/01,432948,17,84,1.82,0,0.4,83,6.9
1991/10/01,144944,-15,80,1.7,24.5,0.1,78.3,7
1991/11/01,6261,-19,46,1.6,20,0.3,69.1,7
1991/12/01,23998,-20,45,0.93,17.5,0.1,68.2,7.3
1992/01/01,33552,-17,44,0.14,5.5,0.1,67.5,7.3
1992/02/01,40245,-11,50,0.5,6.8,0.4,68.8,7.4
1992/03/01,19615,2,57,0.55,6,0.5,76,7.4
1992/04/01,51933,10,76,1.72,6,0.1,77.2,7.4
1992/05/01,257951,18,80,2.21,0,0.1,79.2,7.6
1992/06/01,539959,24,83,5.78,0,0.4,80.4,7.8
1992/07/01,799411,30,85,2.08,0,0.2,76.6,7.7
1992/08/01,742879,13,86,1.27,0,0.3,76.1,7.6
1992/09/01,462788,13,82,1.71,0,0.3,75.6,7.6
1992/10/01,159842,7,82,1.4,4,0.4,73.3,7.3
1992/11/01,8646,-15,47,1.05,16.8,0.1,85.3,7.4
1992/12/01,27584,-27,39,1.45,24.4,-0.1,91,7.4
1993/01/01,38100,-22,39,1.22,18.5,0.5,89.3,7.3
1993/02/01,44049,-26,45,0.79,13.3,0.4,86.6,7.1
1993/03/01,31768,-11,58,1.18,6.3,0.3,85.9,7
1993/04/01,24013,9,62,2.27,22.4,0.3,85.6,7.1
1993/05/01,191222,20,80,2.28,1.5,0.1,80.3,7.1
1993/06/01,525378,24,80,2.63,0,0.1,81.5,7
1993/07/01,768164,26,85,2.51,0,0,77,6.9
1993/08/01,714408,20,80,1.49,0,0.3,77.3,6.8
1993/09/01,401124,13,81,0.24,0.1,0.2,77.9,6.7
1993/10/01,125107,-1,80,1.02,4.6,0.4,82.7,6.8
1993/11/01,18899,-23,50,0.75,3.8,0.1,81.2,6.6
1993/12/01,29961,-12,49,0.87,13.9,0,88.2,6.5
1994/01/01,40757,-16,44,0.7,11.9,0.3,94.3,6.6
1994/02/01,44946,-22,51,1.39,23.5,0.3,93.2,6.6
1994/03/01,27859,-2,60,1.02,5.5,0.3,91.5,6.5
1994/04/01,36280,5,75,0.94,8.5,0.1,92.6,6.4
1994/05/01,233737,21,78,1.65,0.1,0.1,92.8,6.1
1994/06/01,541704,22,86,2.62,0,0.3,91.2,6.1
1994/07/01,831152,25,92,1.75,0,0.3,89,6.1
1994/08/01,731012,25,88,0.56,0,0.4,91.7,6
1994/09/01,414848,12,84,1.08,0,0.3,91.5,5.9
1994/10/01,106646,8,70,0.89,2.2,0.1,92.7,5.8
1994/11/01,7953,-18,47,1.17,24.1,0.1,91.6,5.6
1994/12/01,29251,-15,45,1.8,28.4,0,95.1,5.5
1995/01/01,40868,-30,43,0.98,14.1,0.4,97.6,5.6
1995/02/01,48034,-22,55,0.7,9.4,0.4,95.1,5.4
1995/03/01,21157,-13,55,1.77,20.4,0.3,90.3,5.4
1995/04/01,26147,9,62,1.55,14.6,0.3,92.5,5.8
1995/05/01,201797,9,74,0.85,0,0.2,89.8,5.6
1995/06/01,550978,25,82,1.9,0,0.2,92.7,5.6
1995/07/01,847003,33,89,2.07,0,0,94.4,5.7
1995/08/01,773307,24,91,1.42,0,0.3,96.2,5.7
1995/09/01,468062,12,88,1.46,0,0.2,88.9,5.6
1995/10/01,128483,4,71,1.74,5.2,0.3,90.2,5.5
1995/11/01,11635,-7,54,1.37,13.5,-0.1,88.2,5.6
1995/12/01,7814,-14,49,1.42,10.6,-0.1,91,5.6
1996/01/01,32871,-32,41,1.84,31.9,0.6,89.3,5.6
1996/02/01,51692,-42,50,0.68,13.8,0.3,88.5,5.5
1996/03/01,27162,-15,53,1.94,33.7,0.5,93.7,5.5
1996/04/01,24321,8,66,1.2,7.1,0.4,92.7,5.6
1996/05/01,187045,18,72,3.58,6,0.2,89.4,5.6
1996/06/01,539368,21,84,0.87,0,0.1,92.4,5.3
1996/07/01,818964,30,89,0.73,0,0.2,94.7,5.5
1996/08/01,753934,24,92,0.96,0,0.2,95.3,5.1
1996/09/01,426806,12,84,0.98,0,0.3,94.7,5.2
1996/10/01,118902,-4,79,0.72,10.9,0.3,96.5,5.2
1996/11/01,10473,-8,52,2.24,10.3,0.2,99.2,5.4
1996/12/01,20633,-24,44,3.05,37,0,96.9,5.4
1997/01/01,31155,-46,43,2.5,29.7,0.3,97.4,5.3
1997/02/01,42392,-28,49,1.29,23.8,0.3,99.7,5.2
1997/03/01,19324,-19,60,1.08,15.4,0.3,100,5.2
1997/04/01,21526,-11,60,1.17,5.5,0.1,101.4,5.1
1997/05/01,191985,16,76,0.86,2.7,-0.1,103.2,4.9
1997/06/01,512895,31,83,2.6,0,0.1,104.5,5
1997/07/01,774327,33,89,3.42,0,0.1,107.1,4.9
1997/08/01,737973,32,87,2.25,0,0.2,104.4,4.8
1997/09/01,403184,23,84,2.24,0,0.2,106,4.9
1997/10/01,120266,9,77,1.74,5.3,0.2,105.6,4.7
1997/11/01,9983,-5,57,0.48,6,-0.1,107.2,4.6
1997/12/01,24503,-19,41,0.96,13.9,-0.1,102.1,4.7
1998/01/01,33845,-15,42,1.89,35,0.2,106.6,4.6
1998/02/01,43032,-14,43,0.44,6.3,0.2,110.4,4.6
1998/03/01,17894,-16,55,0.63,7.9,0.2,106.5,4.7
1998/04/01,29689,13,71,0.26,3.6,0.2,108.7,4.3
1998/05/01,222385,21,75,0.65,0,0.2,106.5,4.4
1998/06/01,549396,20,76,4.15,0.1,0.1,105.6,4.5
1998/07/01,829683,34,92,1.43,.,0.1,105.2,4.5
1998/08/01,764238,27,91,0.57,0,0.1,104.4,4.5
1998/09/01,445741,22,90,2.03,0,0.1,100.9,4.6
1998/10/01,150079,.,.,.,.,0.2,97.4,4.5
1998/11/01,9106,2,51,2.36,16.3,0,102.7,4.4
1998/12/01,25742,-35,46,0.92,13.8,-0.1,100.5,4.4
1999/01/01,34346,-21,41,1.94,30.7,0.2,103.9,4.3
1999/02/01,41120,-16,50,1.06,17.4,0.1,108.1,4.4
1999/03/01,23067,-18,59,0.42,6.6,0.3,105.7,4.2
1999/04/01,27128,0,64,1.5,6.6,0.7,104.6,4.3
1999/05/01,203727,11,78,1.57,2.7,0,106.8,4.2
1999/06/01,580624,19,80,2.08,0,0,107.3,4.3
1999/07/01,832685,24,92,0.84,0,0.3,106,4.3
1999/08/01,760062,26,88,3.46,0,0.2,104.5,4.2
1999/09/01,445057,4,77,0.8,0,0.5,107.2,4.2
1999/10/01,142049,2,73,0.82,2.3,0.2,103.2,4.1
1999/11/01,16230,-9,66,0.31,2.7,0.1,107.2,4.1
1999/12/01,25286,-16,53,2.2,28.4,0,105.4,4
2000/01/01,37301,-26,48,1.13,19.8,0.3,112,4
2000/02/01,47573,-23,50,0.87,9.9,0.6,111.3,4.1
2000/03/01,20404,-17,57,1.2,21.2,0.8,107.1,4
2000/04/01,27869,-6,73,0.78,1.7,0.1,109.2,3.8
2000/05/01,214814,15,71,2.8,0.2,0.1,110.7,4
2000/06/01,553892,16,84,1.76,0,0.5,106.4,4
2000/07/01,768040,24,92,0.2,0,0.2,108.3,4
2000/08/01,634104,21,95,1.66,0,0,107.3,4.1
2000/09/01,353728,10,87,2.21,5,0.5,106.8,3.9
2000/10/01,139784,9,71,1.01,0,0.2,105.8,3.9
2000/11/01,13422,-17,48,0.22,8,0.1,107.6,3.9
2000/12/01,27302,-20,39,0.84,23.4,-0.1,98.4,3.9
2001/01/01,44356,-19,41,0.34,8.5,0.6,94.7,4.2
2001/02/01,48980,-29,43,0.55,11.5,0.4,90.6,4.2
2001/03/01,18485,-6,55,0.31,8.7,0.2,91.5,4.3
2001/04/01,28341,7,71,1.58,22,0.4,88.4,4.4
2001/05/01,229085,12,81,1.91,0,0.5,92,4.3
2001/06/01,507737,24,85,1.55,10,0.2,92.6,4.5
2001/07/01,724735,34,90,1.74,0,-0.3,92.4,4.6
2001/08/01,613965,30,94,0.26,0,0,91.5,4.9
2001/09/01,373583,22,87,0.5,0,0.5,81.8,5
2001/10/01,121958,6,80,1.41,10.7,-0.3,82.7,5.3
2001/11/01,19585,-5,60,1.09,7.3,-0.2,83.9,5.5
2001/12/01,27716,-15,36,1.05,20.2,-0.4,88.8,5.7
2002/01/01,40465,-22,43,0.88,15.2,0.2,93,5.7
2002/02/01,52002,-27,50,0.4,8.3,0.4,90.7,5.7
2002/03/01,23305,-21,53,0.72,13.8,0.6,95.7,5.7
2002/04/01,15904,6,64,1.22,6.6,0.6,93,5.9
2002/05/01,228642,13,80,1.83,3.8,0,96.9,5.8
2002/06/01,568144,26,87,1.91,0,0.1,92.4,5.8
2002/07/01,794929,32,98,1.31,0,0.1,88.1,5.8
2002/08/01,663266,23,85,1.06,0,0.3,87.6,5.7
2002/09/01,413960,12,86,1.08,0,0.2,86.1,5.7
2002/10/01,142702,-4,65,1.46,13.3,0.2,80.6,5.7
2002/11/01,11235,-12,52,1.1,13.6,0,84.2,5.9
2002/12/01,19123,-19,42,0.47,6.9,-0.2,86.7,6
2003/01/01,36387,-14,42,0.9,12.6,0.4,82.4,5.8
2003/02/01,39494,-32,46,0.98,16.5,0.8,79.9,5.9
2003/03/01,17718,-10,58,1.64,15.2,0.6,77.6,5.9
2003/04/01,28877,4,69,1.67,4.2,-0.2,86,6
2003/05/01,206245,11,87,1.67,4.1,-0.2,92.1,6.1
2003/06/01,580919,21,83,0.94,0,0.1,89.7,6.3
2003/07/01,809689,30,96,0.65,0,0.1,90.9,6.2
2003/08/01,698753,25,97,0.41,0,0.4,89.3,6.1
2003/09/01,404498,15,86,0.69,0.1,0.3,87.7,6.1
2003/10/01,175877,5,78,1.24,1.5,-0.1,89.6,6
2003/11/01,7967,-18,50,0.73,14.4,-0.3,93.7,5.8
2003/12/01,12951,-7,43,1.41,24.3,-0.1,92.6,5.7
2004/01/01,22817,-31,40,1.95,18,0.5,103.8,5.7
2004/02/01,30030,-17,43,0.73,5.8,0.5,94.4,5.6
2004/03/01,20187,-1,65,0.31,6.2,0.6,95.8,5.8
2004/04/01,32434,12,69,0.76,1.8,0.3,94.2,5.6
2004/05/01,216905,15,74,1.96,1,0.6,90.2,5.6
2004/06/01,584925,26,84,1.66,0,0.3,95.6,5.6
2004/07/01,732682,31,90,1.73,0,-0.2,96.7,5.5
2004/08/01,657869,30,88,1.57,0,0.1,95.9,5.4
2004/09/01,406327,19,84,2.13,0,0.2,94.2,5.4
2004/10/01,135605,11,71,1.26,8,0.5,91.7,5.5
2004/11/01,13939,-17,57,0.37,6,0.1,92.8,5.4
2004/12/01,14597,-24,47,0.56,11.1,-0.4,97.1,5.4
2005/01/01,22297,-14,45,1.51,21,0.2,95.5,5.3
