Country,Year,Govt_deficit
AUT,1995,-6.133971278
AUT,1996,-4.503610369
AUT,1997,-2.575791199
AUT,1998,-2.696226841
AUT,1999,-2.595886654
AUT,2000,-2.404669559
AUT,2001,-0.661575545
AUT,2002,-1.381174923
AUT,2003,-1.786425452
AUT,2004,-4.804986015
AUT,2005,-2.508353536
AUT,2006,-2.535440659
AUT,2007,-1.354608599
AUT,2008,-1.495265332
AUT,2009,-5.329709674
AUT,2010,-4.441277197
AUT,2011,-2.55356277
AUT,2012,-2.189058043
AUT,2013,-1.950077521
AUT,2014,-2.729145206
AUT,2015,-1.00995956
AUT,2016,-1.535915045
AUT,2017,-0.814060069
AUT,2018,0.175231806
AUT,2019,0.732146765
FRA,1995,-5.108542995
FRA,1996,-3.905879422
FRA,1997,-3.65283417
FRA,1998,-2.378437395
FRA,1999,-1.602927625
FRA,2000,-1.318422681
FRA,2001,-1.379274477
FRA,2002,-3.16028993
FRA,2003,-4.01553721
FRA,2004,-3.590570293
FRA,2005,-3.355559897
FRA,2006,-2.443685608
FRA,2007,-2.636296205
FRA,2008,-3.26373483
FRA,2009,-7.174779051
FRA,2010,-6.886721673
FRA,2011,-5.154760881
FRA,2012,-4.980984334
FRA,2013,-4.084094523
FRA,2014,-3.904659346
FRA,2015,-3.62517467
FRA,2016,-3.61169834
FRA,2017,-2.933952975
FRA,2018,-2.266967201
FRA,2019,-3.001639109
DEU,1995,-9.432231435
DEU,1996,-3.570402523
DEU,1997,-2.942100298
DEU,1998,-2.566892704
DEU,1999,-1.719220386
DEU,2000,-1.584664476
DEU,2001,-3.025444871
DEU,2002,-3.874993176
DEU,2003,-3.704201088
DEU,2004,-3.334158372
DEU,2005,-3.319436615
DEU,2006,-1.653152096
DEU,2007,0.26088696
DEU,2008,-0.116356239
DEU,2009,-3.150511299
DEU,2010,-4.378646077
DEU,2011,-0.881398595
DEU,2012,0.009324994
DEU,2013,0.039980792
DEU,2014,0.579552713
DEU,2015,0.944424985
DEU,2016,1.183894039
DEU,2017,1.236096029
DEU,2018,1.859903885
DEU,2019,1.443527928
IRL,1995,-2.111728043
IRL,1996,-0.231351165
IRL,1997,1.344631675
IRL,1998,2.049084768
IRL,1999,3.521884575
IRL,2000,4.842764624
IRL,2001,0.945091423
IRL,2002,-0.53291864
IRL,2003,0.333774338
IRL,2004,1.287779281
IRL,2005,1.560557035
IRL,2006,2.764676979
IRL,2007,0.258834188
IRL,2008,-7.021823289
IRL,2009,-13.82757376
IRL,2010,-32.06327903
IRL,2011,-12.84485222
IRL,2012,-8.095362739
IRL,2013,-6.186030784
IRL,2014,-3.62260822
IRL,2015,-1.97593258
IRL,2016,-0.69090856
IRL,2017,-0.325883919
IRL,2018,0.117224475
IRL,2019,0.385572568
ITA,1995,-7.210269699
ITA,1996,-6.614667349
ITA,1997,-2.981625151
ITA,1998,-2.988261643
ITA,1999,-1.772795717
ITA,2000,-2.42333366
ITA,2001,-3.190309483
ITA,2002,-2.869301584
ITA,2003,-3.21762521
ITA,2004,-3.478850032
ITA,2005,-4.082522688
ITA,2006,-3.616569678
ITA,2007,-1.340256786
ITA,2008,-2.563901532
ITA,2009,-5.121045989
ITA,2010,-4.239736448
ITA,2011,-3.593012379
ITA,2012,-2.945408548
ITA,2013,-2.854252853
ITA,2014,-2.954395634
ITA,2015,-2.552201794
ITA,2016,-2.403898886
ITA,2017,-2.445017623
ITA,2018,-2.199337526
ITA,2019,-1.63906631
LUX,1995,2.583733249
LUX,1996,2.226346584
LUX,1997,2.484671276
LUX,1998,2.846807146
LUX,1999,3.07211336
LUX,2000,5.529870626
LUX,2001,5.68700853
LUX,2002,2.024885933
LUX,2003,0.275917869
LUX,2004,-1.402963538
LUX,2005,-0.210810681
LUX,2006,1.926378377
LUX,2007,4.409244928
LUX,2008,3.528741877
LUX,2009,-0.244672777
LUX,2010,-0.389343165
LUX,2011,0.634589087
LUX,2012,0.481425725
LUX,2013,0.849508367
LUX,2014,1.331677938
LUX,2015,1.324408856
LUX,2016,1.842769279
LUX,2017,1.335805213
LUX,2018,3.121470848
LUX,2019,2.179568
NOR,1995,3.142332667
NOR,1996,6.165613575
NOR,1997,7.460003154
NOR,1998,3.183089776
NOR,1999,5.81019508
NOR,2000,15.06485511
NOR,2001,13.20764607
NOR,2002,9.040656594
NOR,2003,7.21152778
NOR,2004,10.85635607
NOR,2005,14.76366429
NOR,2006,17.93764159
NOR,2007,17.09533724
NOR,2008,18.6327668
NOR,2009,10.2394048
NOR,2010,10.92272019
NOR,2011,13.34841799
NOR,2012,13.76254068
NOR,2013,10.66825474
NOR,2014,8.622987544
NOR,2015,6.022368448
NOR,2016,4.059457457
NOR,2017,5.002151496
NOR,2018,7.837184142
NOR,2019,6.38579913
ESP,1995,-6.788496444
ESP,1996,-5.862801332
ESP,1997,-3.856967886
ESP,1998,-2.624853191
ESP,1999,-1.239166525
ESP,2000,-1.16076073
ESP,2001,-0.454926083
ESP,2002,-0.316722522
ESP,2003,-0.375062635
ESP,2004,-0.109490283
ESP,2005,1.231564543
ESP,2006,2.124079644
ESP,2007,1.88621705
ESP,2008,-4.572251048
ESP,2009,-11.27591944
ESP,2010,-9.526628377
ESP,2011,-9.739575451
ESP,2012,-10.73572955
ESP,2013,-7.035932839
ESP,2014,-5.915373422
ESP,2015,-5.176922577
ESP,2016,-4.305196438
ESP,2017,-3.024241788
ESP,2018,-2.536614337
ESP,2019,-2.826156259
GBR,1995,-5.167368102
GBR,1996,-3.737579154
GBR,1997,-2.085300094
GBR,1998,-0.328089653
GBR,1999,0.62698879
GBR,2000,1.360013362
GBR,2001,0.213869672
GBR,2002,-1.872835652
GBR,2003,-3.13223176
GBR,2004,-3.070914336
GBR,2005,-3.148307567
GBR,2006,-2.770178511
GBR,2007,-2.657661756
GBR,2008,-5.145632106
GBR,2009,-10.08217436
GBR,2010,-9.279573913
GBR,2011,-7.507904643
GBR,2012,-8.15927621
GBR,2013,-5.525980734
GBR,2014,-5.556928061
