"HOUSEID","WTHHFIN","WTHHFIN5D","WTHHFIN2D","NUMADLT","HOMEOWN","HOMETYPE","RAIL","CENSUS_D","CENSUS_R","HH_HISP","DRVRCNT","CNTTDHH","CDIVMSAR","FLAG100","HHFAMINC","HHFAMINC_IMP","HH_RACE","HHSIZE","HHVEHCNT","HHRELATD","LIF_CYC","MSACAT","MSASIZE","TRAVDAY","URBAN","URBANSIZE","URBRUR","PPT517","YOUNGCHILD","RESP_CNT","URBRUR_2010","TDAYDATE","WRKCOUNT","STRATUMID"
"9000013002",4683.5625987,0,14269.464209,2,"01","01","01","01","01","02",2,7,"11","01","11","11","01",4,2,"01","04","01","05","01","01","04","01",2,0,4,"01","202202",1,"1021"
"9000013016",2953.6827124,3785.8278523,0,2,"03","03","02","01","01","02",2,6,"13","01","07","07","01",2,1,"01","02","03","03","04","01","02","01",0,0,2,"01","202202",2,"1021"
"9000013026",9825.6174734,14296.393986,0,1,"03","03","01","01","01","02",1,0,"11","01","10","10","01",1,0,"02","01","01","05","03","01","04","01",0,0,1,"01","202202",1,"1021"
"9000013039",9609.1571412,12211.967921,0,2,"03","03","01","01","01","02",2,2,"11","01","07","07","01",4,1,"01","06","01","04","05","01","04","01",2,0,4,"01","202201",1,"1021"
"9000013041",4771.4086348,6848.7957389,0,1,"01","02","02","01","01","02",1,0,"12","01","11","11","01",1,1,"02","01","02","04","02","01","03","01",0,0,1,"01","202201",1,"1021"
"9000013042",7518.7666428,10909.476884,0,2,"01","01","01","01","01","02",2,4,"11","01","11","11","03",3,2,"01","04","01","05","06","01","04","01",0,1,2,"01","202202",2,"1021"
"9000013043",4047.5519516,5065.2914408,0,1,"02","01","01","01","01","02",1,1,"11","01","06","06","01",1,1,"02","09","01","05","03","01","04","01",0,0,1,"01","202202",0,"1021"
"9000013044",4499.4131481,5886.6732479,0,2,"03","03","01","01","01","02",2,4,"11","01","07","07","01",2,2,"01","02","01","05","06","01","04","01",0,0,2,"01","202202",2,"1021"
"9000013045",5202.1272312,6508.9382359,0,2,"03","03","01","01","01","02",1,8,"11","01","06","06","01",2,1,"01","02","01","05","02","01","04","01",0,0,2,"01","202202",2,"1021"
"9000013046",6499.4912195,0,17706.06828,2,"02","01","01","01","01","02",2,0,"11","01","10","10","01",2,2,"01","10","01","04","01","01","04","01",0,0,2,"01","202201",0,"1021"
"9000013048",68568.947241,97465.873668,0,1,"03","03","02","01","01","01",0,0,"13","01","02","02","97",1,0,"02","01","03","03","03","02","06","01",0,0,1,"01","202202",0,"1021"
"9000013068",7234.1153761,0,11378.674425,2,"01","01","02","01","01","02",2,6,"12","01","10","10","01",5,2,"01","04","02","04","01","04","06","02",1,2,3,"02","202202",1,"1022"
"9000013081",9047.2701994,19942.701575,0,2,"02","01","02","01","01","02",2,7,"13","01","06","06","01",2,3,"01","10","03","03","05","04","06","02",0,0,2,"02","202202",1,"1022"
"9000013083",6781.8980427,8601.282782,0,2,"02","01","01","01","01","02",2,0,"11","01","07","07","03",2,2,"01","10","01","05","06","04","06","02",0,0,2,"01","202202",0,"1021"
"9000013086",10752.855155,0,38006.165014,2,"02","01","02","01","01","02",2,1,"12","01","06","06","01",2,2,"01","10","02","04","01","01","03","01",0,0,2,"01","202201",0,"1021"
"9000013099",6152.5232823,8667.9775748,0,2,"01","01","01","01","01","02",2,2,"11","01","11","11","01",2,2,"01","02","01","04","04","01","04","01",0,0,2,"01","202202",2,"1021"
"9000013104",36860.179182,49337.349196,0,3,"01","03","01","01","01","02",3,0,"13","01","06","06","02",3,3,"01","02","03","03","03","01","03","01",0,0,3,"01","202202",0,"1021"
"9000013122",15895.453683,0,45984.762121,3,"01","01","02","01","01","02",3,7,"13","01","11","11","01",3,2,"01","10","03","03","07","04","06","02",0,0,3,"01","202203",2,"1021"
"9000013145",16534.335412,0,75162.529393,1,"02","01","01","01","01","02",1,3,"11","01","06","06","01",1,1,"02","01","01","04","07","01","04","01",0,0,1,"01","202202",1,"1021"
"9000013148",4079.4703378,8322.1062887,0,2,"01","01","02","01","01","02",2,0,"13","01","06","06","01",2,2,"01","10","03","02","06","04","06","02",0,0,2,"02","202202",0,"1022"
"9000013158",8399.7616662,10610.623355,0,2,"02","01","02","01","01","02",2,5,"12","01","05","05","01",2,2,"01","10","02","04","04","04","06","02",0,0,2,"01","202202",0,"1021"
"9000013164",7506.8128332,9539.8103892,0,8,"03","03","02","01","01","02",2,8,"13","01","05","05","01",8,1,"02","02","03","01","03","01","01","01",0,0,8,"01","202202",1,"1021"
