"HOUSEID","VEHID","VEHYEAR","MAKE","HHVEHCNT","VEHTYPE","VEHFUEL","VEHCOMMERCIAL","VEHCOM_RS","VEHCOM_DEL","VEHCOM_OTH","COMMERCIALFREQ","HHVEHUSETIME_RS","HHVEHUSETIME_DEL","HHVEHUSETIME_OTH","VEHOWNED","WHOMAIN","VEHCASEID","WTHHFIN","WTHHFIN5D","WTHHFIN2D","ANNMILES","HYBRID","VEHAGE","VEHOWNMO","NUMADLT","HOMEOWN","RAIL","CENSUS_D","CENSUS_R","HH_HISP","DRVRCNT","CDIVMSAR","HHFAMINC","HH_RACE","HHSIZE","LIF_CYC","MSACAT","MSASIZE","TRAVDAY","URBAN","URBANSIZE","URBRUR","TDAYDATE","WRKCOUNT","STRATUMID"
"9000013002","01",2015,"48",2,"03","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001300201",4683.5625987,0,14269.464209,2000,"02",7,"-1",2,"01","01","01","01","02",2,"11","11","01",4,"04","01","05","01","01","04","01","202202",1,"1021"
"9000013002","02",2019,"48",2,"03","01","02","-1","-1","-1","-1","-1","-1","-1","01","02","900001300202",4683.5625987,0,14269.464209,10000,"02",3,"-1",2,"01","01","01","01","02",2,"11","11","01",4,"04","01","05","01","01","04","01","202202",1,"1021"
"9000013016","01",2011,"49",1,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001301601",2953.6827124,3785.8278523,0,10000,"02",11,"-1",2,"03","02","01","01","02",2,"13","07","01",2,"02","03","03","04","01","02","01","202202",2,"1021"
"9000013039","01",2015,"35",1,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","02","900001303901",9609.1571412,12211.967921,0,5000,"02",7,"-1",2,"03","01","01","01","02",2,"11","07","01",4,"06","01","04","05","01","04","01","202201",1,"1021"
"9000013041","01",2014,"34",1,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001304101",4771.4086348,6848.7957389,0,5000,"02",8,"-1",1,"01","02","01","01","02",1,"12","11","01",1,"01","02","04","02","01","03","01","202201",1,"1021"
"9000013042","01",2017,"00",2,"03","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001304201",7518.7666428,10909.476884,0,70000,"02",5,"-1",2,"01","01","01","01","02",2,"11","11","03",3,"04","01","05","06","01","04","01","202202",2,"1021"
"9000013042","02",2000,"34",2,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","02","900001304202",7518.7666428,10909.476884,0,20,"02",22,"-1",2,"01","01","01","01","02",2,"11","11","03",3,"04","01","05","06","01","04","01","202202",2,"1021"
"9000013043","01",2014,"63",1,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001304301",4047.5519516,5065.2914408,0,8000,"02",8,"-1",1,"02","01","01","01","02",1,"11","06","01",1,"09","01","05","03","01","04","01","202202",0,"1021"
"9000013044","01",2009,"35",2,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001304401",4499.4131481,5886.6732479,0,500,"02",13,"-1",2,"03","01","01","01","02",2,"11","07","01",2,"02","01","05","06","01","04","01","202202",2,"1021"
"9000013044","02",2017,"35",2,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","02","900001304402",4499.4131481,5886.6732479,0,3000,"02",5,"-1",2,"03","01","01","01","02",2,"11","07","01",2,"02","01","05","06","01","04","01","202202",2,"1021"
