Country,Date,Yield
IRL,2007-01,4.04
IRL,2007-02,4.07
IRL,2007-03,3.97
IRL,2007-04,4.19
IRL,2007-05,4.32
IRL,2007-06,4.62
IRL,2007-07,4.59
IRL,2007-08,4.4
IRL,2007-09,4.32
IRL,2007-10,4.39
IRL,2007-11,4.31
IRL,2007-12,4.45
IRL,2008-01,4.25
IRL,2008-02,4.21
IRL,2008-03,4.17
IRL,2008-04,4.44
IRL,2008-05,4.58
IRL,2008-06,4.91
IRL,2008-07,4.92
IRL,2008-08,4.59
IRL,2008-09,4.56
IRL,2008-10,4.55
IRL,2008-11,4.56
IRL,2008-12,4.57
IRL,2009-01,5.2
IRL,2009-02,5.65
IRL,2009-03,5.76
IRL,2009-04,5.34
IRL,2009-05,5.27
IRL,2009-06,5.73
IRL,2009-07,5.45
IRL,2009-08,4.92
IRL,2009-09,4.91
IRL,2009-10,4.77
IRL,2009-11,4.82
IRL,2009-12,4.88
IRL,2010-01,4.83
IRL,2010-02,4.73
IRL,2010-03,4.53
IRL,2010-04,4.76
IRL,2010-05,4.86
IRL,2010-06,5.31
IRL,2010-07,5.32
IRL,2010-08,5.3
IRL,2010-09,6.14
IRL,2010-10,6.42
IRL,2010-11,8.22
IRL,2010-12,8.45
IRL,2011-01,8.75
IRL,2011-02,9.1
IRL,2011-03,9.67
IRL,2011-04,9.79
IRL,2011-05,10.64
IRL,2011-06,11.43
IRL,2011-07,12.45
IRL,2011-08,9.57
IRL,2011-09,8.51
IRL,2011-10,8.1
IRL,2011-11,8.51
IRL,2011-12,8.7
IRL,2012-01,7.71
IRL,2012-02,7.02
IRL,2012-03,6.9
IRL,2012-04,6.88
IRL,2012-05,7.12
IRL,2012-06,7.09
IRL,2012-07,6.12
IRL,2012-08,5.91
IRL,2012-09,5.28
IRL,2012-10,4.77
IRL,2012-11,4.59
IRL,2012-12,4.67
IRL,2013-01,4.18
IRL,2013-02,3.78
IRL,2013-03,3.83
IRL,2013-04,3.78
IRL,2013-05,3.48
IRL,2013-06,4.02
IRL,2013-07,3.88
IRL,2013-08,3.92
IRL,2013-09,3.95
IRL,2013-10,3.65
IRL,2013-11,3.53
IRL,2013-12,3.48
IRL,2014-01,3.39
IRL,2014-02,3.24
IRL,2014-03,3.05
IRL,2014-04,2.9
IRL,2014-05,2.71
IRL,2014-06,2.44
IRL,2014-07,2.28
IRL,2014-08,2.02
IRL,2014-09,1.75
IRL,2014-10,1.74
IRL,2014-11,1.58
IRL,2014-12,1.31
IRL,2015-01,1.22
IRL,2015-02,1.12
IRL,2015-03,0.8
IRL,2015-04,0.73
IRL,2015-05,1.25
IRL,2015-06,1.65
IRL,2015-07,1.47
IRL,2015-08,1.29
IRL,2015-09,1.31
IRL,2015-10,1.14
IRL,2015-11,1.1
IRL,2015-12,1.11
IRL,2016-01,1.05
IRL,2016-02,0.99
IRL,2016-03,0.85
IRL,2016-04,0.86
IRL,2016-05,0.84
IRL,2016-06,0.76
IRL,2016-07,0.47
IRL,2016-08,0.4
IRL,2016-09,0.42
IRL,2016-10,0.5
IRL,2016-11,0.85
IRL,2016-12,0.84
IRL,2017-01,0.99
IRL,2017-02,1.06
IRL,2017-03,1.05
IRL,2017-04,0.91
IRL,2017-05,0.83
IRL,2017-06,0.7
IRL,2017-07,0.87
IRL,2017-08,0.73
IRL,2017-09,0.7
IRL,2017-10,0.66
IRL,2017-11,0.58
IRL,2017-12,0.54
IRL,2018-01,0.913
IRL,2018-02,1.13
IRL,2018-03,1.006
IRL,2018-04,0.94
IRL,2018-05,0.982
IRL,2018-06,0.92
IRL,2018-07,0.83
IRL,2018-08,0.862
IRL,2018-09,0.933
IRL,2018-10,1.008
IRL,2018-11,0.983
IRL,2018-12,0.909
IRL,2019-01,0.935
IRL,2019-02,0.856
IRL,2019-03,0.668
IRL,2019-04,0.56
IRL,2019-05,0.499
IRL,2019-06,0.2714
IRL,2019-07,0.132
IRL,2019-08,-0.051
IRL,2019-09,-0.01
IRL,2019-10,0.016
IRL,2019-11,0.073
IRL,2019-12,0.037
IRL,2020-01,0.004
IRL,2020-02,-0.131
IRL,2020-03,0.07
IRL,2020-04,0.2012
IRL,2020-05,0.1072
IRL,2020-06,0.0835
IRL,2020-07,-0.0473
IRL,2020-08,-0.1219
IRL,2020-09,-0.1276
IRL,2020-10,-0.2224
IRL,2020-11,-0.251
IRL,2020-12,-0.2903
IRL,2021-01,-0.2418
IRL,2021-02,-0.0551
IRL,2021-03,0.0276
IRL,2021-04,0.082
IRL,2021-05,0.2372
IRL,2021-06,0.1787
IRL,2021-07,0.0309
IRL,2021-08,-0.0788
IRL,2021-09,0.0674
IRL,2021-10,0.2224
IRL,2021-11,0.1876
IRL,2021-12,0.0998
NLD,2007-01,4.052
NLD,2007-02,4.074
NLD,2007-03,3.978
NLD,2007-04,4.194
NLD,2007-05,4.328
NLD,2007-06,4.614
NLD,2007-07,4.564
NLD,2007-08,4.383
NLD,2007-09,4.343
NLD,2007-10,4.376
NLD,2007-11,4.209
NLD,2007-12,4.338
NLD,2008-01,4.131
NLD,2008-02,4.046
NLD,2008-03,3.974
NLD,2008-04,4.21
NLD,2008-05,4.362
NLD,2008-06,4.734
NLD,2008-07,4.687
NLD,2008-08,4.398
NLD,2008-09,4.353
NLD,2008-10,4.228
NLD,2008-11,3.963
NLD,2008-12,3.647
NLD,2009-01,3.763
NLD,2009-02,3.797
NLD,2009-03,3.658
NLD,2009-04,3.771
NLD,2009-05,3.853
NLD,2009-06,3.956
NLD,2009-07,3.764
NLD,2009-08,3.609
NLD,2009-09,3.58
NLD,2009-10,3.533
NLD,2009-11,3.52
NLD,2009-12,3.438
NLD,2010-01,3.467
NLD,2010-02,3.356
NLD,2010-03,3.368
NLD,2010-04,3.321
NLD,2010-05,3.018
NLD,2010-06,2.899
NLD,2010-07,2.853
NLD,2010-08,2.558
NLD,2010-09,2.524
NLD,2010-10,2.577
NLD,2010-11,2.785
NLD,2010-12,3.155
NLD,2011-01,3.228
NLD,2011-02,3.408
NLD,2011-03,3.423
NLD,2011-04,3.647
NLD,2011-05,3.403
NLD,2011-06,3.283
NLD,2011-07,3.172
NLD,2011-08,2.677
NLD,2011-09,2.336
NLD,2011-10,2.464
NLD,2011-11,2.446
NLD,2011-12,2.376
NLD,2012-01,2.197
NLD,2012-02,2.236
NLD,2012-03,2.249
NLD,2012-04,2.291
NLD,2012-05,1.961
NLD,2012-06,1.926
NLD,2012-07,1.747
NLD,2012-08,1.757
NLD,2012-09,1.844
NLD,2012-10,1.767
NLD,2012-11,1.65
NLD,2012-12,1.562
NLD,2013-01,1.738
NLD,2013-02,1.827
NLD,2013-03,1.669
NLD,2013-04,1.663
NLD,2013-05,1.691
NLD,2013-06,2
NLD,2013-07,2.032
NLD,2013-08,2.196
NLD,2013-09,2.322
NLD,2013-10,2.177
NLD,2013-11,2.056
NLD,2013-12,2.156
NLD,2014-01,2.098
NLD,2014-02,1.891
NLD,2014-03,1.81
NLD,2014-04,1.846
NLD,2014-05,1.709
NLD,2014-06,1.598
NLD,2014-07,1.407
NLD,2014-08,1.2
NLD,2014-09,1.154
NLD,2014-10,1.032
NLD,2014-11,0.934
NLD,2014-12,0.777
NLD,2015-01,0.52
NLD,2015-02,0.416
NLD,2015-03,0.326
NLD,2015-04,0.314
NLD,2015-05,0.754
NLD,2015-06,1.054
NLD,2015-07,0.986
NLD,2015-08,0.853
NLD,2015-09,0.866
NLD,2015-10,0.725
NLD,2015-11,0.716
NLD,2015-12,0.754
NLD,2016-01,0.646
NLD,2016-02,0.371
NLD,2016-03,0.32
NLD,2016-04,0.395
NLD,2016-05,0.384
NLD,2016-06,0.25
NLD,2016-07,0.062
NLD,2016-08,0.027
NLD,2016-09,0.061
NLD,2016-10,0.156
NLD,2016-11,0.385
NLD,2016-12,0.436
NLD,2017-01,0.481
NLD,2017-02,0.486
NLD,2017-03,0.485
NLD,2017-04,0.498
NLD,2017-05,0.589
NLD,2017-06,0.503
NLD,2017-07,0.688
NLD,2017-08,0.542
NLD,2017-09,0.532
NLD,2017-10,0.541
NLD,2017-11,0.468
NLD,2017-12,0.452
NLD,2018-01,0.611
NLD,2018-02,0.761
NLD,2018-03,0.626
NLD,2018-04,0.69
NLD,2018-05,0.671
NLD,2018-06,0.565
NLD,2018-07,0.474
NLD,2018-08,0.473
NLD,2018-09,0.551
NLD,2018-10,0.582
NLD,2018-11,0.518
NLD,2018-12,0.401
NLD,2019-01,0.332
NLD,2019-02,0.236
NLD,2019-03,0.15
NLD,2019-04,0.195
NLD,2019-05,0.11
NLD,2019-06,-0.092
NLD,2019-07,-0.206
NLD,2019-08,-0.499
NLD,2019-09,-0.427
NLD,2019-10,-0.314
NLD,2019-11,-0.192
NLD,2019-12,-0.135
NLD,2020-01,-0.17
NLD,2020-02,-0.335
NLD,2020-03,-0.326
NLD,2020-04,-0.218
NLD,2020-05,-0.312
NLD,2020-06,-0.293
NLD,2020-07,-0.39
NLD,2020-08,-0.412
NLD,2020-09,-0.441
NLD,2020-10,-0.528
NLD,2020-11,-0.543
NLD,2020-12,-0.553
NLD,2021-01,-0.532
NLD,2021-02,-0.392
NLD,2021-03,-0.331
NLD,2021-04,-0.296
NLD,2021-05,-0.186
NLD,2021-06,-0.236
