date,seattle_zhvi,phoenix_zhvi
1996-04,163200,87500
1996-05,163400,88200
1996-06,163800,88800
1996-07,164300,89400
1996-08,164800,89900
1996-09,165500,90300
1996-10,166200,90800
1996-11,167100,91200
1996-12,168200,91800
1997-01,169600,92400
1997-02,171000,92800
1997-03,172500,93200
1997-04,174000,93600
1997-05,175600,94000
1997-06,177100,94400
1997-07,178600,94700
1997-08,180100,95100
1997-09,181700,95600
1997-10,183300,96100
1997-11,185100,96600
1997-12,187100,97300
1998-01,189200,98100
1998-02,191300,98700
1998-03,193500,99200
1998-04,195800,99800
1998-05,198200,100300
1998-06,200700,100800
1998-07,203500,101300
1998-08,206300,101900
1998-09,209100,102500
1998-10,211900,103200
1998-11,214700,103900
1998-12,217300,104700
1999-01,219700,105500
1999-02,221800,106200
1999-03,223700,106700
1999-04,225500,107300
1999-05,227400,107900
1999-06,229300,108500
1999-07,231300,109200
1999-08,233300,109800
1999-09,235500,110500
1999-10,237800,111200
1999-11,240200,111900
1999-12,242700,112700
2000-01,245300,113700
2000-02,247900,114500
2000-03,250300,115300
2000-04,252800,116000
2000-05,255200,116700
2000-06,257500,117400
2000-07,259600,118100
2000-08,261500,118800
2000-09,263300,119400
2000-10,265000,120200
2000-11,266600,120900
2000-12,268300,121700
2001-01,269900,122600
2001-02,271400,123400
2001-03,272600,124100
2001-04,273600,124800
2001-05,274400,125300
2001-06,275000,125800
2001-07,275600,126200
2001-08,276200,126600
2001-09,276700,127000
2001-10,277500,127400
2001-11,278400,127900
2001-12,279300,128400
2002-01,280300,128900
2002-02,281300,129500
2002-03,282300,130100
2002-04,283300,130600
2002-05,284200,131100
2002-06,285100,131700
2002-07,286100,132300
2002-08,287100,132900
2002-09,288200,133600
2002-10,289500,134300
2002-11,290900,135100
2002-12,292300,135800
2003-01,293700,136600
2003-02,295200,137200
2003-03,296700,137900
2003-04,298100,138500
2003-05,299500,139100
2003-06,300800,139600
2003-07,302200,140200
2003-08,303700,140800
2003-09,305400,141400
2003-10,307300,142100
2003-11,309400,142800
2003-12,311800,143500
2004-01,314500,144400
2004-02,317300,145300
2004-03,320300,146500
2004-04,323700,147800
2004-05,327500,149500
2004-06,331500,151500
2004-07,335600,153900
2004-08,339600,156700
2004-09,343700,159700
2004-10,347700,163100
2004-11,351800,167000
2004-12,356100,171400
2005-01,360500,176200
2005-02,365000,181100
2005-03,369700,186400
2005-04,374900,192300
2005-05,380300,198700
2005-06,385900,205600
2005-07,391700,212900
2005-08,397400,220200
2005-09,402700,227000
2005-10,407800,233000
2005-11,412500,237900
2005-12,417000,241700
2006-01,421200,244800
2006-02,425100,247400
2006-03,429200,249700
2006-04,433300,251500
2006-05,437200,252300
2006-06,440800,252200
2006-07,444100,251300
2006-08,446900,250100
2006-09,449400,248600
2006-10,451400,247000
2006-11,452800,245500
2006-12,454200,244300
2007-01,455700,243200
2007-02,457100,242300
2007-03,458700,241500
2007-04,460500,241000
2007-05,462100,240400
2007-06,463200,239400
2007-07,463900,238000
2007-08,464100,236100
