DATE,CNP16OV
1948-01-01,102603
1948-02-01,102698
1948-03-01,102771
1948-04-01,102831
1948-05-01,102923
1948-06-01,102992
1948-07-01,103216
1948-08-01,103240
1948-09-01,103291
1948-10-01,103361
1948-11-01,103424
1948-12-01,103468
1949-01-01,103529
1949-02-01,103559
1949-03-01,103665
1949-04-01,103739
1949-05-01,103845
1949-06-01,103930
1949-07-01,104042
1949-08-01,104121
1949-09-01,104219
1949-10-01,104338
1949-11-01,104421
1949-12-01,104524
1950-01-01,104619
1950-02-01,104737
1950-03-01,104844
1950-04-01,104943
1950-05-01,105014
1950-06-01,105104
1950-07-01,105194
1950-08-01,105282
1950-09-01,105269
1950-10-01,105096
1950-11-01,104979
1950-12-01,104872
1951-01-01,104844
1951-02-01,104604
1951-03-01,104629
1951-04-01,104541
1951-05-01,104491
1951-06-01,104488
1951-07-01,104504
1951-08-01,104536
1951-09-01,104588
1951-10-01,104690
1951-11-01,104740
1951-12-01,104810
1952-01-01,104862
1952-02-01,104868
1952-03-01,104860
1952-04-01,104906
1952-05-01,104996
1952-06-01,105118
1952-07-01,105246
1952-08-01,105346
1952-09-01,105436
1952-10-01,105591
1952-11-01,105706
1952-12-01,105812
1953-01-01,106594
1953-02-01,106678
1953-03-01,106744
1953-04-01,106826
1953-05-01,106910
1953-06-01,106978
1953-07-01,107034
1953-08-01,107132
1953-09-01,107253
1953-10-01,107383
1953-11-01,107504
1953-12-01,107623
1954-01-01,107763
1954-02-01,107880
1954-03-01,107987
1954-04-01,108080
1954-05-01,108184
1954-06-01,108267
1954-07-01,108344
1954-08-01,108440
1954-09-01,108546
1954-10-01,108668
1954-11-01,108798
1954-12-01,108892
1955-01-01,109059
1955-02-01,109078
1955-03-01,109254
1955-04-01,109377
1955-05-01,109544
1955-06-01,109680
1955-07-01,109792
1955-08-01,109882
1955-09-01,109977
1955-10-01,110085
1955-11-01,110177
1955-12-01,110296
1956-01-01,110390
1956-02-01,110478
1956-03-01,110582
1956-04-01,110650
1956-05-01,110810
1956-06-01,110903
1956-07-01,111019
1956-08-01,111099
1956-09-01,111222
1956-10-01,111335
1956-11-01,111432
1956-12-01,111526
1957-01-01,111626
1957-02-01,111711
1957-03-01,111824
1957-04-01,111933
1957-05-01,112031
1957-06-01,112172
1957-07-01,112317
1957-08-01,112421
1957-09-01,112554
1957-10-01,112710
1957-11-01,112874
1957-12-01,113013
1958-01-01,113138
1958-02-01,113234
1958-03-01,113337
1958-04-01,113415
1958-05-01,113534
1958-06-01,113647
1958-07-01,113727
1958-08-01,113835
1958-09-01,113977
1958-10-01,114138
1958-11-01,114283
1958-12-01,114429
1959-01-01,114582
1959-02-01,114712
1959-03-01,114849
1959-04-01,114986
1959-05-01,115144
1959-06-01,115287
1959-07-01,115429
1959-08-01,115555
1959-09-01,115668
1959-10-01,115798
1959-11-01,115916
1959-12-01,116040
1960-01-01,116594
1960-02-01,116702
1960-03-01,116827
1960-04-01,116910
1960-05-01,117033
1960-06-01,117167
1960-07-01,117281
1960-08-01,117431
1960-09-01,117521
1960-10-01,117643
1960-11-01,117829
1960-12-01,118001
1961-01-01,118155
1961-02-01,118250
1961-03-01,118358
1961-04-01,118503
1961-05-01,118638
1961-06-01,118767
1961-07-01,118889
1961-08-01,119006
1961-09-01,119107
1961-10-01,119202
1961-11-01,119153
1961-12-01,119214
1962-01-01,119300
1962-02-01,119360
1962-03-01,119476
1962-04-01,119702
1962-05-01,119813
1962-06-01,119943
1962-07-01,120128
1962-08-01,120323
1962-09-01,120653
1962-10-01,120856
1962-11-01,121045
1962-12-01,121236
1963-01-01,121463
1963-02-01,121633
1963-03-01,121824
1963-04-01,121986
1963-05-01,122162
1963-06-01,122352
1963-07-01,122521
1963-08-01,122667
1963-09-01,122821
1963-10-01,123014
1963-11-01,123192
1963-12-01,123360
1964-01-01,123560
1964-02-01,123707
1964-03-01,123857
1964-04-01,124019
1964-05-01,124204
1964-06-01,124386
1964-07-01,124567
1964-08-01,124731
1964-09-01,124920
1964-10-01,125108
1964-11-01,125291
1964-12-01,125468
1965-01-01,125647
1965-02-01,125810
1965-03-01,125985
1965-04-01,126155
1965-05-01,126320
1965-06-01,126499
1965-07-01,126573
1965-08-01,126756
1965-09-01,126906
1965-10-01,127043
1965-11-01,127171
1965-12-01,127294
1966-01-01,127394
1966-02-01,127514
1966-03-01,127626
1966-04-01,127744
1966-05-01,127879
1966-06-01,127983
1966-07-01,128102
1966-08-01,128240
1966-09-01,128359
1966-10-01,128494
1966-11-01,128627
1966-12-01,128730
1967-01-01,128909
1967-02-01,129032
1967-03-01,129190
1967-04-01,129344
1967-05-01,129515
1967-06-01,129722
1967-07-01,129918
1967-08-01,130187
1967-09-01,130392
1967-10-01,130582
1967-11-01,130754
1967-12-01,130936
1968-01-01,131112
1968-02-01,131277
1968-03-01,131412
1968-04-01,131553
1968-05-01,131712
1968-06-01,131872
1968-07-01,132053
1968-08-01,132251
1968-09-01,132446
1968-10-01,132617
1968-11-01,132903
1968-12-01,133120
1969-01-01,133324
1969-02-01,133465
1969-03-01,133639
1969-04-01,133821
1969-05-01,134027
1969-06-01,134213
1969-07-01,134414
1969-08-01,134597
1969-09-01,134774
1969-10-01,135012
1969-11-01,135239
1969-12-01,135489
1970-01-01,135713
1970-02-01,135957
1970-03-01,136179
1970-04-01,136416
1970-05-01,136686
1970-06-01,136928
1970-07-01,137196
1970-08-01,137455
1970-09-01,137717
1970-10-01,137988
1970-11-01,138264
1970-12-01,138529
1971-01-01,138795
1971-02-01,139021
1971-03-01,139285
1971-04-01,139566
1971-05-01,139826
1971-06-01,140090
1971-07-01,140343
1971-08-01,140596
1971-09-01,140869
1971-10-01,141146
1971-11-01,141393
1971-12-01,141666
1972-01-01,142736
1972-02-01,143017
1972-03-01,143263
1972-04-01,143483
1972-05-01,143760
1972-06-01,144033
1972-07-01,144285
1972-08-01,144522
1972-09-01,144761
1972-10-01,144988
1972-11-01,145211
1972-12-01,145446
1973-01-01,145720
1973-02-01,145943
1973-03-01,146230
1973-04-01,146459
1973-05-01,146719
1973-06-01,146981
1973-07-01,147233
1973-08-01,147471
1973-09-01,147731
1973-10-01,147980
1973-11-01,148219
1973-12-01,148479
1974-01-01,148753
1974-02-01,148982
1974-03-01,149225
1974-04-01,149478
1974-05-01,149750
1974-06-01,150012
1974-07-01,150248
1974-08-01,150493
1974-09-01,150753
1974-10-01,151009
1974-11-01,151256
1974-12-01,151494
1975-01-01,151755
1975-02-01,151990
1975-03-01,152217
1975-04-01,152443
1975-05-01,152704
1975-06-01,152976
1975-07-01,153309
1975-08-01,153580
1975-09-01,153848
1975-10-01,154082
1975-11-01,154338
1975-12-01,154589
1976-01-01,154853
1976-02-01,155066
1976-03-01,155306
1976-04-01,155529
1976-05-01,155765
1976-06-01,156027
1976-07-01,156276
1976-08-01,156525
1976-09-01,156779
1976-10-01,156993
1976-11-01,157235
1976-12-01,157438
1977-01-01,157688
1977-02-01,157913
1977-03-01,158131
1977-04-01,158371
1977-05-01,158657
1977-06-01,158929
1977-07-01,159185
1977-08-01,159430
1977-09-01,159674
1977-10-01,159915
1977-11-01,160129
1977-12-01,160377
1978-01-01,160617
1978-02-01,160831
1978-03-01,161038
1978-04-01,161263
1978-05-01,161518
1978-06-01,161795
1978-07-01,162034
1978-08-01,162259
1978-09-01,162502
1978-10-01,162783
1978-11-01,163017
1978-12-01,163272
1979-01-01,163516
1979-02-01,163726
1979-03-01,164027
1979-04-01,164162
1979-05-01,164459
1979-06-01,164721
1979-07-01,164970
1979-08-01,165198
1979-09-01,165431
1979-10-01,165813
1979-11-01,166051
1979-12-01,166300
1980-01-01,166544
1980-02-01,166759
1980-03-01,166984
1980-04-01,167197
1980-05-01,167407
1980-06-01,167643
1980-07-01,167932
1980-08-01,168103
1980-09-01,168297
1980-10-01,168503
1980-11-01,168695
1980-12-01,168883
1981-01-01,169104
1981-02-01,169280
1981-03-01,169453
1981-04-01,169641
1981-05-01,169829
1981-06-01,170042
1981-07-01,170246
1981-08-01,170399
1981-09-01,170593
1981-10-01,170809
1981-11-01,170996
1981-12-01,171166
1982-01-01,171335
1982-02-01,171489
1982-03-01,171667
1982-04-01,171844
1982-05-01,172026
1982-06-01,172190
1982-07-01,172364
1982-08-01,172511
1982-09-01,172690
1982-10-01,172881
1982-11-01,173058
1982-12-01,173199
1983-01-01,173354
1983-02-01,173505
1983-03-01,173656
1983-04-01,173794
1983-05-01,173953
1983-06-01,174125
1983-07-01,174306
1983-08-01,174440
1983-09-01,174602
1983-10-01,174779
1983-11-01,174951
1983-12-01,175121
1984-01-01,175533
1984-02-01,175679
1984-03-01,175824
1984-04-01,175969
1984-05-01,176123
1984-06-01,176284
1984-07-01,176440
1984-08-01,176583
1984-09-01,176763
1984-10-01,176956
1984-11-01,177135
1984-12-01,177306
1985-01-01,177384
1985-02-01,177516
1985-03-01,177667
1985-04-01,177799
1985-05-01,177944
1985-06-01,178096
1985-07-01,178263
1985-08-01,178405
1985-09-01,178572
1985-10-01,178770
1985-11-01,178940
1985-12-01,179112
1986-01-01,179670
1986-02-01,179821
1986-03-01,179985
1986-04-01,180148
1986-05-01,180311
1986-06-01,180503
1986-07-01,180682
1986-08-01,180828
1986-09-01,180997
1986-10-01,181186
1986-11-01,181363
1986-12-01,181547
1987-01-01,181827
1987-02-01,181998
1987-03-01,182179
1987-04-01,182344
1987-05-01,182533
1987-06-01,182703
1987-07-01,182885
1987-08-01,183002
1987-09-01,183161
1987-10-01,183311
1987-11-01,183470
1987-12-01,183620
1988-01-01,183822
1988-02-01,183969
1988-03-01,184111
1988-04-01,184232
1988-05-01,184374
1988-06-01,184562
1988-07-01,184729
1988-08-01,184830
1988-09-01,184962
1988-10-01,185114
1988-11-01,185244
1988-12-01,185402
1989-01-01,185644
1989-02-01,185777
1989-03-01,185897
1989-04-01,186024
1989-05-01,186181
1989-06-01,186329
1989-07-01,186483
1989-08-01,186598
1989-09-01,186726
1989-10-01,186871
1989-11-01,187017
1989-12-01,187165
1990-01-01,188413
1990-02-01,188516
1990-03-01,188630
1990-04-01,188778
1990-05-01,188913
1990-06-01,189058
1990-07-01,189188
1990-08-01,189342
1990-09-01,189528
1990-10-01,189710
1990-11-01,189872
1990-12-01,190017
1991-01-01,190163
1991-02-01,190271
1991-03-01,190381
1991-04-01,190517
1991-05-01,190650
1991-06-01,190800
1991-07-01,190946
1991-08-01,191116
1991-09-01,191302
1991-10-01,191497
1991-11-01,191657
