DATE,GPDIC1
1947-01-01,218.091
1947-04-01,201.386
1947-07-01,195.461
1947-10-01,233.284
1948-01-01,257.22
1948-04-01,273.138
1948-07-01,275.936
1948-10-01,262.741
1949-01-01,223.507
1949-04-01,193.795
1949-07-01,209.862
1949-10-01,199.54
1950-01-01,246.911
1950-04-01,273.335
1950-07-01,296.831
1950-10-01,334.548
1951-01-01,300.363
1951-04-01,307.326
1951-07-01,284.697
1951-10-01,262.013
1952-01-01,268.85
1952-04-01,248.58
1952-07-01,261.906
1952-10-01,280.772
1953-01-01,286.813
1953-04-01,288.445
1953-07-01,282.411
1953-10-01,262.005
1954-01-01,260.127
1954-04-01,259.513
1954-07-01,272.037
1954-10-01,283.968
1955-01-01,312.337
1955-04-01,331.333
1955-07-01,336.418
1955-10-01,344.218
1956-01-01,334.39
1956-04-01,331.759
1956-07-01,328.788
1956-10-01,325.739
1957-01-01,320.682
1957-04-01,320.357
1957-07-01,327.701
1957-10-01,302.503
1958-01-01,282.096
1958-04-01,276.413
1958-07-01,297.627
1958-10-01,323.004
1959-01-01,340.604
1959-04-01,367.099
1959-07-01,343.391
1959-10-01,354.567
1960-01-01,390.21
1960-04-01,353.841
1960-07-01,352.942
1960-10-01,313.843
1961-01-01,321.988
1961-04-01,344.549
1961-07-01,371.335
1961-10-01,377.479
1962-01-01,397.831
1962-04-01,394.694
1962-07-01,401.401
1962-10-01,389.657
1963-01-01,410.158
1963-04-01,416.683
1963-07-01,429.512
1963-10-01,434.727
1964-01-01,450.997
1964-04-01,449.373
1964-07-01,459.861
1964-10-01,464.229
1965-01-01,508.491
1965-04-01,509.827
1965-07-01,527.578
1965-10-01,531.072
1966-01-01,573.502
1966-04-01,565.012
1966-07-01,560.844
1966-10-01,564.131
1967-01-01,550.286
1967-04-01,530.378
1967-07-01,545.93
1967-10-01,557.706
1968-01-01,568.887
1968-04-01,590.647
1968-07-01,574.539
1968-10-01,580.789
1969-01-01,614.989
1969-04-01,611.366
1969-07-01,623.778
1969-10-01,593.659
1970-01-01,575.953
1970-04-01,577.205
1970-07-01,586.598
1970-10-01,555.454
1971-01-01,620.212
1971-04-01,637.811
1971-07-01,645.549
1971-10-01,628.165
1972-01-01,669.558
1972-04-01,707.589
1972-07-01,717.638
1972-10-01,722.138
1973-01-01,764.458
1973-04-01,797.044
1973-07-01,768.143
1973-10-01,795.504
1974-01-01,750.076
1974-04-01,747.082
1974-07-01,708.362
1974-10-01,712.661
1975-01-01,597.866
1975-04-01,580.067
1975-07-01,625.037
1975-10-01,642.484
1976-01-01,704.475
1976-04-01,732.358
1976-07-01,734.91
1976-10-01,740.408
1977-01-01,774.711
1977-04-01,830.251
1977-07-01,872.264
1977-10-01,850.383
1978-01-01,866.957
1978-04-01,923.266
1978-07-01,950.166
1978-10-01,972.139
1979-01-01,973.754
1979-04-01,972.877
1979-07-01,956.493
1979-10-01,939.526
1980-01-01,933.101
1980-04-01,853.76
1980-07-01,797.411
1980-10-01,871.733
1981-01-01,952.418
1981-04-01,912.945
1981-07-01,964.401
1981-10-01,930.44
1982-01-01,842.429
1982-04-01,841.789
1982-07-01,834.075
1982-10-01,769.602
1983-01-01,796.266
1983-04-01,866.784
1983-07-01,921.051
1983-10-01,1010.654
1984-01-01,1108.328
1984-04-01,1144.371
1984-07-01,1169.136
1984-10-01,1153.971
1985-01-01,1122.331
1985-04-01,1141.447
1985-07-01,1133.665
1985-10-01,1175.45
1986-01-01,1175.105
1986-04-01,1154.589
1986-07-01,1123.532
1986-10-01,1126.895
1987-01-01,1157.306
1987-04-01,1157.909
1987-07-01,1158.077
1987-10-01,1236.986
1988-01-01,1177.604
1988-04-01,1205.662
1988-07-01,1212.36
1988-10-01,1230.861
1989-01-01,1272.638
1989-04-01,1260.328
1989-07-01,1249.012
1989-10-01,1239.747
1990-01-01,1252.058
1990-04-01,1252.449
1990-07-01,1228.17
1990-10-01,1159.464
1991-01-01,1120.884
1991-04-01,1120.88
1991-07-01,1143.073
1991-10-01,1183.605
1992-01-01,1161.74
1992-04-01,1227.44
1992-07-01,1237.197
1992-10-01,1274.945
1993-01-01,1305.003
1993-04-01,1312.511
1993-07-01,1303.597
1993-10-01,1372.097
1994-01-01,1424.36
1994-04-01,1494.411
1994-07-01,1469.999
1994-10-01,1530.476
1995-01-01,1546.548
1995-04-01,1514.426
1995-07-01,1505.399
1995-10-01,1542.785
1996-01-01,1567.56
1996-04-01,1642.882
1996-07-01,1717.51
1996-10-01,1715.245
1997-01-01,1749.879
1997-04-01,1856.956
1997-07-01,1882.955
1997-10-01,1911.048
1998-01-01,1994.375
1998-04-01,1982.058
1998-07-01,2033.015
1998-10-01,2095.76
1999-01-01,2153.308
1999-04-01,2154.652
1999-07-01,2213.773
1999-10-01,2273.095
2000-01-01,2257.109
