,point_1,ci68l_1,ci68u_1,ci90l_1,ci90u_1,point_2,ci68l_2,ci68u_2,ci90l_2,ci90u_2,point_3,ci68l_3,ci68u_3,ci90l_3,ci90u_3,point_4,ci68l_4,ci68u_4,ci90l_4,ci90u_4
0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-1.14472,-1.20817,-1.0935,-1.24201,-1.05522,-0.257499,-0.526866,-0.0737665,-0.685233,0.0710884,-0.226948,-0.341739,-0.138511,-0.41766,-0.0727069,0.360903,-0.0884318,0.787862,-0.41887,1.05284
2,-1.2496,-1.34351,-1.18427,-1.39181,-1.13193,-0.0544024,-0.345227,0.228604,-0.529081,0.431586,-0.295089,-0.449181,-0.150972,-0.546972,-0.0357703,0.62268,-0.0765987,1.30351,-0.614424,1.7279
3,-1.28117,-1.39625,-1.21838,-1.45291,-1.15768,-0.223043,-0.576144,0.13993,-0.807055,0.374192,-0.334014,-0.582239,-0.148605,-0.731049,0.0196359,1.02436,0.1537,1.96324,-0.561745,2.55974
4,-1.31625,-1.47061,-1.2496,-1.54269,-1.17679,-0.0465175,-0.460055,0.322279,-0.725703,0.574066,-0.460517,-0.761441,-0.23262,-0.935056,-0.0293867,1.05314,0.0165364,2.20862,-0.816399,2.96537
5,-1.36427,-1.54608,-1.29573,-1.62999,-1.21329,-0.077734,-0.529011,0.315514,-0.817924,0.587517,-0.525351,-0.894334,-0.251857,-1.10429,-0.0187139,0.819747,-0.382853,2.14447,-1.30425,3.05152
6,-1.2777,-1.4908,-1.20782,-1.58394,-1.11426,-0.181189,-0.648952,0.231493,-0.955035,0.510241,-0.443548,-0.875956,-0.121342,-1.11909,0.156399,0.670595,-0.650254,2.13723,-1.71829,3.12515
7,-1.3147,-1.5525,-1.2462,-1.65737,-1.14358,-0.249031,-0.739204,0.163661,-1.06741,0.456185,-0.601007,-1.08987,-0.231551,-1.36492,0.076031,0.173456,-1.27675,1.77401,-2.38548,2.79015
8,-1.24434,-1.50867,-1.17519,-1.62006,-1.06367,-0.0428282,-0.554565,0.379054,-0.866045,0.68062,-0.612063,-1.16304,-0.212008,-1.46302,0.13129,-0.565211,-2.11661,1.10809,-3.26613,2.24473
9,-1.2271,-1.516,-1.16336,-1.63044,-1.04479,-0.264199,-0.781671,0.1717,-1.10985,0.501113,-0.922434,-1.52821,-0.476145,-1.85241,-0.109398,-1.19913,-2.86914,0.519637,-4.07746,1.69543
